Game,Performance,Drive,Emulator,Update,Notes,Device
Prince Of Persia: The Lost Crown,Perfect,Qualcomm 0.746.0,Citron,1.4.1 + DLC,Citron is back in development! 60 FPS Settings: Docked 1x Res. Force Maximum Clocks and Use Asynchronous Shaders On Everything Else Default.,Pocket 5
Prince Of Persia: The Lost Crown,Perfect,Qualcomm 0.746.0,Yuzu,1.4.2,"Turnip 9v2 crashes when openning the map, only qualcomm driver doesnt, gameplay performance wise is the same",Pocket 5
Prince Of Persia: The Lost Crown,Perfect,Turnip 24.3.0 9v2,Yuzu,1.4.1,Update make the game run smoother,Pocket 5
Princess Peach: Showtime!,Poor,Turnip 24.3.0 9v2,Sudachi,1.0,"Crashes before first cutscene ends. My Settings: 1x Resolution, High Accuracy, VSync Off, Disk Shader Cache on, Force maximum clocks on, asynchronous shaders off.",Pocket 5
Princess Peach: Showtime!,Great,Turnip 24.3.0 9v2,Citron,1.0,"Resolution scale 1x (This is important otherwise Peach and Toad’s face will be glitchy), Accuracy High (these seemed to determine whether game had sound or not), Sync Off, Disk shader cache on, For maximum clocks on, asynchronous shaders off, reactive flushing off.",Pocket 5
Princess Peach: Showtime!,Great,Turnip 24.3.0 9v2,Citron,1.0,Citron 6b9dd40 Video precision : High Resolution : 0.75x Force max frequencies : Yes Still some minor glitches (ex : Peach’s face),Pocket 5
Prodeus,Great,Qualcomm 805,Citron,1.0.1,Docked mode @ 0.75 resolution fluctuates 40 – 60 fps but doesn’t feel like it stutters. Really nice doom-like shooter,Pocket 5
Pumpkin Jack,Playable,Turnip 24.3.0 9v2,Yuzu,1.4.4,Gameplay is smooth 30 in handheld mode but there is lots of audio stutter enough that I personally would not play it,Pocket 5
Punch A Bunch,Playable,Turnip 25.2.0 R4,Yuzu,1.0,"Mostly 60fps, but some stages have major graphical glitches.",Pocket 5
Quake 2,Perfect,Qualcomm 0.746.0,Sudachi,1.0,Full 60fps – Does not run as well on Turnip/the other emulators,Pocket 5
R-Type Final 2,Playable,Turnip 24.3.0 9v2,Sudachi,2.0.3,As a 60fps game it is running around 35-50fps. Major Graphical glitches on effects like explosions and lights all the time. Not enjoyable like this.,Pocket 5
Racine,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Perfect 60 FPS Docked,Pocket 5
Rain World,Perfect,Turnip 24.3.0 9v2,Citron,1.0,,Pocket 5
Rainbow Moon,Perfect,Turnip 24.3.0 9v2,Citron,1.0,"Crashed on other emus I tried, playing 60 fps with undocked, high accuracy, 1x reso, mailbox sync, bilinear adapting filter, 25% fsr sharpness",Pocket 5
Rayman Legends,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Rayman Legends: Definitive Edition,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Runs at a perfect 60fps in docked mode,Pocket 5
Rebel Transmute,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,60fps docked,Pocket 5
Red Dead Redemption,Poor,Turnip 24.3.0 9v2,Yuzu,1.0.3,Looks like its gonna be playable at first but crashes,Pocket 5
Red Wings American Aces,Great,Turnip 24.3.0 9v2,Suyu,1.0,60fps docked,Pocket 5
Resident Evil 0,Great,Turnip 24.3.0 9v2,Yuzu,1.0,Locked 30fps. Extremely beautiful on RP5.,Pocket 5
Resident Evil 4,Poor,Turnip 24.3.0 9v2,Citron,1.0,Out of sync intro scene and game runs at 20-25 fps in handheld mode.,Pocket 5
Resident Evil HD Remake,Great,Turnip 24.3.0 9v2,Citron,1.0,30 fps docked. Noticed some character flickering during certain lighting effects. Just about perfect but had to dock it a little for that.,Pocket 5
Resident Evil Revelations,Great,Qualcomm 0.746.0,Suyu,1.0.1,Handheld mode firmware 17.0.1 runs great 60fps some minor slowdown here and there,Pocket 5
Resident Evil Revelations,Playable,Qualcomm 0.746.0,Yuzu,1.0.1,It is playable and mostly plays 60fps handheld mode but there are enough dips and stutters to make it not ery enjoyable,Pocket 5
Resident Evil Revelations 2,Perfect,Qualcomm 0.746.0,Sudachi,1.0.2,"1x Res. Async Shaders. Run full speed 30 fps. Slight hiccup or stutters when compiling shaders but if you put Async Shaders., The textures would load late but the stutters almost all gone. I have only played for like 15 minutes without any crash. So.. it is perfect so far",Pocket 5
Retro City Rampage Dx,Perfect,Qualcomm 0.746.0,Yuzu,2.0.0,Perfect 60fps docked,Pocket 5
Retrorealms,Perfect,Qualcomm 0.746.0,Citron,1.0.892068,"(Plus 4 DLCs) Freezes briefly on title, continues to play after a second or two.",Pocket 5
Retrorealms,Perfect,Qualcomm 0.746.0,Yuzu,1.0.892068,(Including 4 DLCs) Runs smoothly if it doesn’t freeze on the title screen.,Pocket 5
Return,Poor,Turnip 24.3.0 9v2,Suyu,1.0,wont launch,Pocket 5
Return Of The Obra Dinn,Perfect,Qualcomm 0.746.0,Sudachi,1.0.1,"Docked mode, game gets to 60fps most of the time but then gets to 50 fps drops after a while because of the rain",Pocket 5
Return Of The Obra Dinn,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.1,"60 fps, Plays Great!",Pocket 5
Revita,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.4,,Pocket 5
Riptide Gp Renegade,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Smooth as!,Pocket 5
Rise Of The Third Power,Great,Turnip 24.3.0 9v2,Citron,1.0.5,"Generally runs perfectly, though I experienced crashes with any other driver",Pocket 5
Risk Of Rain 2,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Risk Of Rain 2,Great,Turnip 24.3.0 9v2,Sudachi,1.2.2.1 + Survivors of The oid DLC,"This runs between 35-60 fps with the update. With no update it will run 30 fps and no more. The game is totally playable, got past the first boss and it didn’t struggle too much. The times where it drops below 40 fps don’t affect input latency so I didn’t really notice the frame rate affecting gameplay.",Pocket 5
Risk Of Rain Returns,Perfect,Qualcomm 0.746.0,Citron,1.0.4,Citron is back in development! Settings: Docked 1x Res. Force Maximum Clocks and Use Asynchronous Shaders On If Audio Is Stuttering/Crackling Change Output To cubeb Everything Else Default.,Pocket 5
Risk Of Rain Returns,Great,Qualcomm 0.746.0,Yuzu,1.0.5,"Perfect 60fps, but has audio crackle",Pocket 5
Rival Megagun,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Rival Megagun,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
River City Girls,Perfect,default,Citron,1.0,"When Booting it up on Yuzu, it gets stuck on Loading Shaders, But loading it up on Citron Boots it up immediately with no Problems",Pocket 5
River City Girls 2,Perfect,default,Yuzu,1.0,Boots up and Runs No Problem,Pocket 5
Road 96,Perfect,Qualcomm 0.746.0,Yuzu,1.04,Perfect 30fps handheld,Pocket 5
Rocket League,Perfect,Turnip 24.3.0 9v2,Sudachi,2.0.1,,Pocket 5
Rogue Heroes: Ruins Of Tasos,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.8,Sometimes crashes when I mess with controller setups mid-game,Pocket 5
Rogue Legacy 2,Great,Qualcomm 615.50,Sudachi,v1.1.0,"No issues playing, sometimes crashes upon wake from sleep (pause emu before sleep helps most of the time).No data ever lost, though.",Pocket 5
Rogue Legacy 2,Perfect,Turnip 24.3.0 9v2,Sudachi,1.1.0,,Pocket 5
Roller Coaster Tycoon 3 Complete,Perfect,Turnip 24.3.0 9v2,Citron,Latest,,Pocket 5
Rollercoaster Tycoon Classic,Perfect,Turnip 24.3.0 9v2,Sudachi,1.2.174,Runs really well,Pocket 5
Romance Of The Three Kingdoms 8 : Remake,Poor,Turnip 24.3.0 9v2,Citron,1.0,Cannot boot to main menu. Tried Qualcom and also firmware 18.0 and 17.0,Pocket 5
Romancing Saga 2: Revenge Of The Seven,Poor,Turnip 24.3.0 9v2,Citron,Latest,Would technically load the game but the graphics glitched out in a way that made everything shine with blinding light,Pocket 5
Roots Of Pacha,Perfect,Turnip 24.3.0 9v2,Yuzu,1.2.0.5,"Apart from graphical glitches when creating player, game seems to be working fine on 1x docked with locked 60fps.",Pocket 5
Ruiner,Great,Turnip 24.3.0 9v2,Citron,1.1S15773077ab,"Docked, 0.75x Resolution. Mostly Smooth 30 FPS, occasional dips.",Pocket 5
Rune Factory 3,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.4,Quick travel warp has massive graphical bugs that take over the entire screen. Everything else has been flawless.,Pocket 5
Rune Factory 4s,Poor,Turnip 24.3.0 9v2,Sudachi,1.0,Text doesn’t appear. Tried with several other emulators and drivers and it’s the same,Pocket 5
Rune Factory 5,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.2,Some slight graphical glitches,Pocket 5
Runnyk,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Runnyk,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Rusted Moss,Perfect,Turnip 24.3.0 9v2,Citron,1.29.2,,Pocket 5
S.T.A.L.K.E.R.: Call Of Prypiat,Poor,Turnip 24.3.0 9v2,Sudachi,1.0.2,Won’t start no matter what settings I play with,Pocket 5
S.T.A.L.K.E.R.: Clear Sky,Poor,Turnip 24.3.0 9v2,Sudachi,1.0.2,Won’t start no matter what settings I play with,Pocket 5
S.T.A.L.K.E.R.: Shadow Of Chornobyl,Playable,Turnip 24.3.0 9v2,Citron,1.0,"Crashed the first time, after that it worked fine Citron 0.3 Enable USE_AUTO_STUB setting Force maximum clock speed 25-30FPS @ 1x resolution",Pocket 5
Saga Frontier 2 Remastered,Perfect,Qualcomm 0.746.0,Citron,1.0.1,No noticeable issues. Docked 1X.,Pocket 5
Saga Frontier Remastered,Great,Qualcomm 0.746.0,Yuzu,1.0.3,"Perfect 60fps docked, some micro stutters that effect audio",Pocket 5
Saints Row IV,Playable,Qualcomm 0.746.0,Citron,1.1.0,"System – 110%, Handheld mode, Rest your choice Graphic – 1X, Sync off, Bilinear (important), 25% FSR, AA off, AF Auto, DSC on, Max freq on, ASync shader Off, Urf off Audio – Auto Debug – ulkan, NCE, unsafe, CPU Debugging on, Fastmem on not Final, Work in progress, a bit Dark but still playable",Pocket 5
Saints Row: The Third – The Full Package,Poor,Qualcomm 0.746.0,Yuzu,1.6.1,"Gameplay is all black in yuzu and sudachi, no launch with 9v2",Pocket 5
Sakuna: Of Rice And Ruin,Great,Qualcomm 777,Sudachi,1.0.9,"Grapihical glitches and crashes with Turnip 9v2. Plays smoothly with Qualcomm drivers instead, although minor graphical glitches and laggy cutscenes are still there",Pocket 5
Salt And Sanctuary,Great,Turnip 24.3.0 9v2,Yuzu,1.0.3,"Almost perfect, ery slight dips in some places but super playable",Pocket 5
Sam & Max: Save The World,Playable,Turnip 24.3.0 9v2,Sudachi,2.0.0,Handheld 0.75x res for 60fps,Pocket 5
Samurai Jack: Battle Through Time,Perfect,Turnip 24.1.0 R18,Citron,1.0.3,"Citron 0.4 , 1x Native, all default. Runs amazing and looks Beautiful",Pocket 5
Samurai Shodown,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,,Pocket 5
Sanabi,Great,Qualcomm 0.746.0,Suyu,1.0,40fps docked,Pocket 5
Savant – Ascent Remix,Playable,Qualcomm 0.746.0,Sudachi,1.0,,Pocket 5
Schim,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Put Accuracy Level on high or extreme. 1x Res – 30-35 FPS 0.75x Res – 50-60 FPS,Pocket 5
Schim,Great,Qualcomm 0.746.0,Yuzu,1.0,Yuzu 278 (dc529a89a) Video precision : high Resolution : 0.75x Force max frequencies : Yes,Pocket 5
Sclash,Playable,Turnip 24.3.0 9v2,Suyu,1.0,"30fps handheld, some stutters.",Pocket 5
Scott Pilgrim vs. The World: The Game – Complete Edition,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.3,,Pocket 5
ScourgeBringer,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,60fps docked,Pocket 5
ScourgeBringer,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,60fps docked,Pocket 5
Sd Gundam G Generation Genesis,Perfect,Qualcomm 0.746.0,Sudachi,1.0,60fps without problem,Pocket 5
Sea Of Stars,Poor,Turnip 24.3.0 9v2,Citron,2.0.5,"Performance wise very playable, but there a lot of crashes in the progress of the story, even early on, so you cant really play the game, sadly",Pocket 5
Sea Of Stars,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,"Game runs fine. But at some moments, like Elder mist or other places it crashed. All forks have the same problem. Qualcomm driver has missed textures.",Pocket 5
Sea Of Stars,Perfect,Turnip 24.3.0 9v2,Sudachi,1.1.53846,,Pocket 5
Seers Isle,Perfect,Qualcomm 0.746.0,Yuzu,2.0.1,Perfect 60fps docked,Pocket 5
Sega Ages – Virtua Racing,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
Senran Kagura Peach Ball,Perfect,Turnip 24.3.0 9v2,Citron,1.0.1,Works perfectly,Pocket 5
Senran Kagura Peach Ball,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.2,Fullspeed (30FPS) throughout. Never encountered any bugs or slowdowns.,Pocket 5
Serial Cleaner,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect 60fps docked,Pocket 5
Shadow Labyrinth,Perfect,Qualcomm 0.746.0,Yuzu,1.0,,Pocket 5
Shadowrun Returns,Perfect,Turnip 24.3.0 9v2,Sudachi,1.3.0,Used all default settings and it ran at a stable 60fps. Only issue is I had to use the overlay controls to advance one screen during character creation. Turned them off once I got into the game proper.,Pocket 5
Shantae Half Genie Hero,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,Default settings on Sudachi. Graphics at 1x. Device doesn’t even get hot. Temps stay around 42-45 Celsius.,Pocket 5
Shantae: 1/2 Genie Hero – Ultimate Edition,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,"Run smoothly but has a long input lag. Makes it quite unplayable for a platformer… Same with Citron, with or without update.",Pocket 5
Shantae: 1/2 Genie Hero – Ultimate Edition,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Shashingo: Learn Japanese With Photography,Perfect,Turnip 25.2.0 R7,Yuzu,1.0,".75x , synch OFF. Graphics bugs far away but won’t ruin the game or stop from playing.",Pocket 5
Shin Megami Tensei III Nocturne HD Remaster,Perfect,Turnip 24.1.0 R18,Citron,1.0.3,Citron 0.4 Limit speed 200% for 60fps .75 res Force Clocks Disk Shader Cache Use Reactive Flushing Ran into one crash after name creation (fixed by swiping up technique) played an hour no crashes.,Pocket 5
Shin Megami Tensei III Nocturne HD Remaster,Playable,Turnip 24.3.0 9v2,Yuzu,1.0.3,Its perfect 30fps in handheld mode but it goes to 0fps black screen every time you enter a new room which can be fixed by sliding up on the app as if you were going to close it then it will unfreeze. Playable but don’t think I would choose this over the ps2 ersion.,Pocket 5
Shin Megami Tensei Vengeance,Great,Turnip 24.1.0 R18,Citron,1.0,Citron 0.4 30fps with minor dips Possible crashing in new scenes (save frequently) Played up to second battle with pixie Disk cache on Reactive flushing on (fixes graphics) Overdrive on (better fps) .5 res or .75 res .5 res felt like less crashing,Pocket 5
Shin Megami Tensei Vengeance,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Shin-Chan: Shiro And The Coal Town,Great,Turnip 24.3.0 9v2,Yuzu,1.0.2,Solid 30fps!,Pocket 5
Shiren The Wanderer: The Mystery Dungeon Of Serpentcoil Island,Perfect,Qualcomm 0.746.0,Yuzu,2.1.2,Plays wonderfully!,Pocket 5
Shogun Showdown,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,"Standard docked, default settings",Pocket 5
Shovel Knight King Of Cards,Perfect,Qualcomm 0.746.0,Yuzu,1.0,,Pocket 5
Shovel Knight Shovel Of Hope,Perfect,Qualcomm 0.746.0,Yuzu,1.0,,Pocket 5
Shovel Knight: Treasure Trove,Perfect,Qualcomm 0.746.0,Yuzu,1.0,For me any Turnips on yuzu makes it crash when you enter the first level,Pocket 5
Sifu,Playable,Turnip 24.3.0 9v2,Yuzu,1.11_790,"Handheld mode .5x resolution, barely playable gets 25-30fps most of the time but dips down to 15 or even a little lower. Playable if you don’t mind it looking and playing like a 3DS port",Pocket 5
Signalis,Perfect,Qualcomm 0.746.0,Sudachi,1.4,Docked Mode 30 Fps locked Emulation Quality: High (fixes random crashes),Pocket 5
Signalis,Perfect,Qualcomm 0.746.0,Yuzu,1.4,Perfect 30fps docked,Pocket 5
Skater Xl,Perfect,Qualcomm 0.746.0,Yuzu,Updated 1.2.8.7,"1x Native, sync Off , Nearest Neigbor, Force maximum clocks, use Asynchronous Shaders, Use reactive Flushing. Note: The game will crash a couple times as the shaders will adjust and then run smoothly.",Pocket 5
Skater Xl,Perfect,Qualcomm 0.746.0,Yuzu,Updated 1.2.8.7,"1x Native, sync Off , Nearest Neigbor, Force maximum clocks, use Asynchronous Shaders, Use reactive Flushing. Note: The game will crash a couple times as the shaders will adjust and then run smoothly.",Pocket 5
Skul: The Hero Slayer,Perfect,Turnip 24.3.0 9v2,Sudachi,1.7.6,,Pocket 5
Skullgirls: 2nd Encore,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.6,,Pocket 5
Sky Oceans: Wings For Hire,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,Would not boot in yuzu or sudachi with or without update on Turnip 9v2 or Qualcomm 0.746.0,Pocket 5
Sky Rogue,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,60fps docked,Pocket 5
Skylanders Imaginators,Poor,Turnip 25.2.0 R11,Sudachi,1.1.1,"The game allows me to play the first level, but when I reach the HUB and I explore it for a bit, the game crashes. After restarting, the game crashes even earlier.",Pocket 5
Skylanders Imaginators,Poor,Turnip 23.2.0,Citron,1.0,"The game, like how I tested it on Sudachi, allows me to play the first level, but when I reach the HUB and I explore it for a bit, the game crashes. After restarting, the game crashes even earlier.",Pocket 5
Skylanders Imaginators,Poor,Turnip 25.2.0 R11,Citron,1.1.1,The game doesn’t get past the character selection screen because of a black screen covering everything,Pocket 5
Skyrim,Playable,Turnip 24.3.0 9v2,Sudachi,1.1.392.3925134,"Plays fine, consistent 30fps at 0.75 res. Occasional crashes. Flickering lighting issue in dungeons. Worked around it somewhat by installing Enhanced Lights mod which makes flickering less intense, but also makes dungeons too dark in some areas. Mods can be installed by putting .esp/.esm files in sudachi/files/sdmc/atmosphere/contents/01000A10041EA000/romfs/Data. Edit Skyrim.ini folder in romfs folder. Add one if not there from Nexus mods Skyrim Switch Toolkit.",Pocket 5
Slay The Spire,Perfect,Qualcomm 0.746.0,Yuzu,2.2.1,,Pocket 5
Slay The Spire,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Slay The Spire,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Slay The Spire,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Slayers X: Terminal Aftermath: Vengance Of The Slayer,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,,Pocket 5
Slime 3k – Rise Against Despot,Perfect,Qualcomm 0.746.0,Sudachi,1.0,Sudachi 1.0.11 (99775b8) All default parameters,Pocket 5
Slime Rancher,Poor,Turnip 24.3.0 9v2,Eden,1.0,Will crash before game file creation. Could not start new game.,Pocket 5
Sludge Life,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,Freezes a lot with yuzu and sudachi with both drivers,Pocket 5
Snake Pass,Great,Turnip 24.3.0 9v2,Yuzu,1.4,"25fps docked, isuals are broken in handheld mode",Pocket 5
Sniper Elite 3: Ultimate Edition,Poor,Turnip 25.2.0 R4,Yuzu,Both base and latest update crash after some time,Get perhaps 60 seconds of runtime then crashes,Pocket 5
Sniper Elite 4,Great,Qualcomm 0.746.0,Yuzu,"1.0.3, 13 DLC",Seems to be mostly perfect 30 in handheld,Pocket 5
Sniper Elite 4,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,game menu has some weird glitching but the game is playable,Pocket 5
Snk Heroines Tag Team Frenzy,Poor,Turnip 24.3.0 9v2,Citron,1.0,Launches but characters are not visible. Tried Yuzu and Sudachi as well,Pocket 5
SNK vs. Capcom: SVC Chaos,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Snowboarding The Next Phase,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.0.1,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
Solar Ash,Great,Turnip 25.0.0 R5,Suyu,1.0,"20-25fps, runs good and looks good",Pocket 5
Sonic Frontiers,Poor,Turnip 24.3.0 9v2,Citron,1.0,Crashes after completing the first level. People need to play a little further before listing a game as playable,Pocket 5
Sonic Frontiers,Great,Turnip 24.3.0 9v2,Citron,1.0,"0.75x, force maximum clocks, use asynchronous shaders",Pocket 5
Sonic Generations,Great,Turnip 24.3.0 9v2,Citron,1.01,"Works with 60fps mod, make sure to place it in the right folder, only Sonic generations part not shadow generations",Pocket 5
Sonic Mania,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,,Pocket 5
Sonic Origins,Great,Turnip 24.3.0 9v2,Suyu,1.0,,Pocket 5
Sonic Superstars,Perfect,Qualcomm 0.746.0,Sudachi,1.1.8,"Handheld mode, accuracy high, NCE/Qualcomm",Pocket 5
Sonic Superstars,Great,Qualcomm 0.746.0,Suyu,1.0,,Pocket 5
Sonic Wings Reunion,Poor,Qualcomm 0.746.0,Citron,1.0,crash and freeze,Pocket 5
Sonic X Shadow Generations,Great,Turnip 24.1.0 R18,Citron,1.0,.75 resolution,Pocket 5
Sonic X Shadow Generations,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Audio Output: cubeb to correct audio issues,Pocket 5
Sonic X Shadow Generations,Great,Turnip 24.3.0 9v2,Suyu,1.0,,Pocket 5
South Park: The Fractured Butt Whole,Poor,Turnip 24.3.0 9v2,Sudachi,1.0,doesn´t render graphics. same for qualcom drivers,Pocket 5
South Park: The Stick Of Truth,Perfect,Turnip 24.3.0 9v2,Yuzu,1.01,"Mode: Docked, Graphics Accuracy level: High",Pocket 5
South Park: The Stick Of Truth,Perfect,Turnip 24.3.0 9v2,Citron,1.01,,Pocket 5
Speed Overflow,Playable,Qualcomm 0.746.0,Sudachi,1.0,,Pocket 5
Speed Overflow,Playable,Qualcomm 0.746.0,Yuzu,1.0,,Pocket 5
Spelunky,Perfect,Turnip 24.3.0 9v2,Suyu,1.0.5,"Played through the tutorial caves with 0 issues, 60fps.",Pocket 5
Spelunky 2,Perfect,Turnip 24.3.0 9v2,Citron,1.27.0,"Debug > CPU Backend > Dynarmic …otherwise game doesn’t launch at all. Despite Dynarmic saying it is slow, it was running at 60fps.",Pocket 5
Spelunky 2,Great,Turnip 24.3.0 9v2,Yuzu,1.28,"Before installing this driver, the game was unplayable, but it works great after the install.",Pocket 5
Spintires: Mud Runner (Mudrunner – American Wilds),Great,Turnip 24.3.0 9v2,Yuzu,v3.6,Yuzu 278 (dc529a89a) CPU debugging : Yes Resolution : 0.75x Force max frequencies : Yes Cashes quite often,Pocket 5
Spirit Hunter: Death Mark 2,Perfect,Turnip 24.3.0 9v2,Yuzu,1.04,"plays perfectly, default settings",Pocket 5
Splatoon 3,Great,Turnip 24.3.0 9v2,Citron,DLC + 9.1.0,Occasional dips in fps but is surprisingly stable,Pocket 5
Spongebob Squarepants: The Cosmic Shake,Playable,Turnip 24.3.0 9v2,Yuzu,1.0.7,Handheld mode High performance Accuracy Level high 1x = 20-25fps 0.75x = 25-30fps Disk shader on Async shader on Audio cubeb Bloom glitch is easily fixable by having the accuracy level on high so its pretty much mandatory. Can crash during cutscene so I suggest to just skip all of it,Pocket 5
Spyro Reignited Trilogy,Great,Turnip 25.2.0 R1,Yuzu,1.0,"Set Accuracy level to High, .75x Res, Asynchronous shaders on, Sharpness 25% or higher. Stable 30fps",Pocket 5
Spyro Reignited Trilogy,Great,BioSensor MK1,Citron,1.0.1,Citron Optimized ersion (yes it runs better for this game) Docked // Accuracy to High for the color issue. Resolution 0.75 // -sync : immediate Disk shader cache: enabled Force maximum clocks (Aderno only): enabled Use asynchronous shaders: enabled Output engine: cubeb,Pocket 5
Spyro Reignited Trilogy,Great,Turnip 25.0.0 R5,Citron,1.01,"Docked Mode, Graphics Accuracy: High, Resolution: 0.75X, Sync mode: Immediate (Off), Audio: cubeb Prerendered cutscenes have no audio. Minor slowdown in parts.",Pocket 5
Stacklands,Great,Qualcomm 0.746.0,Citron,1.0,Could only get to 50-60% full speed,Pocket 5
Stacklands,Perfect,Qualcomm 0.746.0,Sudachi,1.4.0.2,I beat the Demon Lord but have not played the expansion stuff yet. It plays perfectly but turn the fan on because the system starts getting hot the larger your board gets.,Pocket 5
Star Ocean: First Departure R,Perfect,Qualcomm 0.746.0,Citron,1.0,Crashes during the first battle when using Turnips. Works flawlessly with standard. I have played about 20 minutes.,Pocket 5
Star Ocean: The Second Story R,Perfect,Turnip 24.3.0 9v2,Sudachi,Latest,Crashes occasionally (after around an hour of straight gameplay) for seemingly no reason. Game autosaves enough that it’s not a real issue.,Pocket 5
Star Ocean: The Second Story R,Perfect,Turnip 24.3.0 9v2,Citron,1.0.1 + DLC,"Stable 30FPS in docked mode, cubeb audio engine, RP5 on standard performance mode",Pocket 5
Star Of Providence,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Perfect 60 FPS Docked,Pocket 5
Star Overdrive,Poor,Qualcomm 0.746.0,Citron,1.0.7,"Cutscenes load fine, but there is constant texture flickering during gameplay.",Pocket 5
Star Wars – Knights Of The Old Republic,Great,Turnip 24.3.0 9v2,Yuzu,Base or Update 1.0.1,Seemed to work great. Only played into the main story a couple minutes,Pocket 5
Star Wars – Knights Of The Old Republic II,Great,Turnip 24.3.0 9v2,Yuzu,1.0.2,Seems to run great. Played through the first bit of the game.,Pocket 5
Star Wars The Force Unleashed,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,"The game launches and runs fine, but the pause menu options are transparent once you get into the game, making it quite difficult to navigate. Could play, if you’re determined or desperate.",Pocket 5
Star Wars: Dark Forces,Perfect,Turnip 25.2.0 R4,Yuzu,1.0,,Pocket 5
Stardew Valley,Perfect,Qualcomm 0.746.0,Citron,1.5.4.2,Citron is back in development! 60 FPS Settings: Docked 1x Res. Force Maximum Clocks and Use Asynchronous Shaders On Everything Else Default.,Pocket 5
Stardew Valley,Perfect,Qualcomm 0.746.0,Citron,1.6.9.37,Perfect 60 fps,Pocket 5
Stardew Valley,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Stardew Valley,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Stardew Valley,Playable,Turnip 24.3.0 9v2,Yuzu,1.5.4.2,Controls are very painstakingly hard to go through,Pocket 5
Steamworld Build,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Steamworld Dig,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.12.0,Yuzu 278 (dc529a89a) Default parameters,Pocket 5
Steamworld Heist II,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Steins Gate: My Darlings Embrace,Perfect,Turnip 24.3.0 9v2,Citron,1.0,60fps,Pocket 5
Steins;Gate Elite,Perfect,Qualcomm 0.746.0,Yuzu,1.0.2E,Perfect 60fps docked,Pocket 5
Stella Of The End,Perfect,Qualcomm 0.746.0,Sudachi,1.0,It just works,Pocket 5
Story Of Seasons: Friends Of Mineral Town,Perfect,Turnip 25.2.0 R11,Sudachi,1.1.7,Looks amazing too,Pocket 5
Story Of Seasons: Pioneers Of Olive Town,Great,Turnip 24.3.0 9v2,Sudachi,Newest game update and newest update of Sudachi,"The newest sudachi update resolved issues with crashing. Using the 4gb of swap memory as well. It runs pretty consistently from 50-60fps. I normally run it on performance mode, but high performance gives it a couple extra frames per second.",Pocket 5
